                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6899,                  2.311,                 1.1162,                0.48818,                0.36563,                0.25647,                0.14161,                 1.4869,                 1.9541,                 1.0734,               0.066693,             9.9951e-06,             9.9951e-06
                      2,                 1.5573,                 1.8506,                 1.0706,                0.41625,                0.44005,                0.32056,                0.18626,                 1.4092,                   1.51,                  1.027,               0.033369,             1.9599e-05,             1.9599e-05
